typ;name;aadr;eadr;sadr;dir;file;md5;doublette
C;BLACKHOLE;0330;2BA2;03F9;z1013/Sammlung IGD/igd28b MC 9;C.BLACKHOLE.z80;b7e52361f6859a78adf1b6c39a57713e;N
S;ANLAY.A;3000;3EDF;0000;z1013/a_ziermann/unsorted2/tools;S.ANLAY.A.z80;e506a6e86b26e674b9f4c7096c1d3903;N
B;EAST26/2;2BC0;4911;0000;z1013/a_ziermann/lang/basic/east;B.EAST26_2.z80;b90d418d5c53c8c50e793e0f0a881aca;N
C;RAMTESTRAMBUGZ;1900;1FFF;1900;z1013/Sammlung IGD/igd09b MC;C.RAMTEST RAMBUG Z.z80;f1cdc96be5f4422221ff51366bf60c12;N
B;CLIMBER;2BC0;5701;0000;z1013/a_ziermann/unsorted3;B.CLIMBER.z80;00e18d705adf9ec75b50cf3dafdedc25;N
M;SHELL.COM;0100;26FF;0038;z1013/Sammlung IGD/igd18a CPM 2;M.SHELL.COM.z80;72b93fc00fc963cb7e348b5b6569873a;N
B;ADRESSEN;2BC0;3ECB;0300;z1013/a_ziermann/unsorted3;B.ADRESSEN.z80;20414f6a32361d8877814a04ca88fa92;N
B;DYNA-L;2BC0;3BDD;0300;z1013/Sammlung IGD/igd12a KC-Basic+ 3;B.DYNA-L.z80;24bf6b2595c11a4e557869f6e868b72f;N
B;FROGGER;2BC0;352D;0000;z1013/a_ziermann/games;B.FROGGER.z80;942d9622284a300f0f78be86a83a8a2b;N
B;STAR-TRECK*1.1*;2BC0;73F1;0000;z1013/a_ziermann/unsorted3;B.STAR-TRECK 1.1.z80;ecb4ab256a64df72171b61557e5235e7;N
C;LABYRINTH1;0100;3FFF;0645;z1013/Tagungskassetten/Tagungskassette Leipzig Mai 1989/a;C.LABYRINTH 1.z80;48ff5dc09bcb163e12aadf08f821d454;N
T;ZUGRIFFSANZEIGE;0101;0A7B;0000;z1013/Sammlung IGD/igd20a Text;T.ZUGRIFFSANZEIGE.z80;c1b096d9f79c38f2e10bde43704ad02e;N
T;LISTEDRESDEN04;1800;529F;0000;z1013/Sammlung IGD;T.LISTE DRESDEN 04.z80;82ce3b4073aa2c419d7bb44f31a0b627;N
T;LISTEDRESDEN04;1800;529F;0000;z1013/Tagungskassetten/Tagungskassette Jena 1991/b;T.LISTE DRESDEN 04.z80;82ce3b4073aa2c419d7bb44f31a0b627;J
C;CRC-SUMME;E100;E16F;E100;z1013/Sammlung IGD/igd17b MC 6;C.CRC- SUMME.z80;1e09b99d813999f04a5bde9bbb663d1f;N
C;3K-BASIC.PRG;0100;0DBB;0100;z1013/a_ziermann/unsorted2/unsorted/Reinsberger;C.3K-BASIC.PRG.z80;7d8410d8936d37b1fd520128bc4814e6;N
b;VOICE-DEMO;1000;155B;0000;z1013/Sammlung IGD/igd03b TINY 1;b.VOICE-DEMO.z80;0739ecd4dee1ad4d8928b9fbf348bc6b;N
T;REZILOG.HLP;0100;157F;0021;z1013/Sammlung IGD/igd02a CPM 1;T.REZILOG.HLP.z80;a298d44bf55acb608d6d5ac170d50b01;N
 ;SC.HLP;0100;287F;0040;z1013/Sammlung IGD/igd24b CPM 4;_.SC.HLP.z80;a6b2cc502d572ca35b9b7ea7e7ca3320;N
M;RB+;4000;54CE;FFEE;z1013/a_ziermann/nu/monitor-rom;M.RB+.z80;1e423b8f5755ed505e9769e8662dcafa;N
